id,date,Warengruppe,umsatz,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode
1307015.0,2013-07-01,5.0,317.475874933038,,6.0,17.8375,15.0,20.0
1307014.0,2013-07-01,4.0,65.890168799361,,6.0,17.8375,15.0,20.0
1307012.0,2013-07-01,2.0,535.856284785361,,6.0,17.8375,15.0,20.0
1307013.0,2013-07-01,3.0,201.198425690037,,6.0,17.8375,15.0,20.0
1307011.0,2013-07-01,1.0,148.828353112183,,6.0,17.8375,15.0,20.0
1307021.0,2013-07-02,1.0,159.79375714468,,3.0,17.3125,10.0,
1307022.0,2013-07-02,2.0,546.780787392297,,3.0,17.3125,10.0,
1307023.0,2013-07-02,3.0,265.261253994438,,3.0,17.3125,10.0,
1307024.0,2013-07-02,4.0,74.5439171827412,,3.0,17.3125,10.0,
1307025.0,2013-07-02,5.0,383.628681612577,,3.0,17.3125,10.0,
1307031.0,2013-07-03,1.0,111.885593514353,,7.0,21.075,6.0,61.0
1307032.0,2013-07-03,2.0,427.343258749983,,7.0,21.075,6.0,61.0
1307035.0,2013-07-03,5.0,305.523072325318,,7.0,21.075,6.0,61.0
1307034.0,2013-07-03,4.0,69.2627280649987,,7.0,21.075,6.0,61.0
1307033.0,2013-07-03,3.0,210.260241465493,,7.0,21.075,6.0,61.0
1307041.0,2013-07-04,1.0,168.864940979931,,7.0,18.85,7.0,20.0
1307042.0,2013-07-04,2.0,454.859641347987,,7.0,18.85,7.0,20.0
1307043.0,2013-07-04,3.0,190.686641378586,,7.0,18.85,7.0,20.0
1307044.0,2013-07-04,4.0,61.490175369225,,7.0,18.85,7.0,20.0
1307045.0,2013-07-04,5.0,308.408167942149,,7.0,18.85,7.0,20.0
1307051.0,2013-07-05,1.0,171.280754117955,,5.0,19.975,12.0,
1307052.0,2013-07-05,2.0,492.818804066088,,5.0,19.975,12.0,
1307055.0,2013-07-05,5.0,355.518770367742,,5.0,19.975,12.0,
1307054.0,2013-07-05,4.0,86.7598614451924,,5.0,19.975,12.0,
1307053.0,2013-07-05,3.0,181.644870215041,,5.0,19.975,12.0,
1307061.0,2013-07-06,1.0,174.552359998476,,0.0,18.9625,8.0,
1307062.0,2013-07-06,2.0,631.906068038484,,0.0,18.9625,8.0,
1307063.0,2013-07-06,3.0,291.557959835153,,0.0,18.9625,8.0,
1307064.0,2013-07-06,4.0,80.6465768881107,,0.0,18.9625,8.0,
1307065.0,2013-07-06,5.0,361.866932797941,,0.0,18.9625,8.0,
1307075.0,2013-07-07,5.0,370.20960108863,,0.0,21.375,9.0,
1307074.0,2013-07-07,4.0,94.6039024817053,,0.0,21.375,9.0,
1307073.0,2013-07-07,3.0,279.665938833443,,0.0,21.375,9.0,
1307071.0,2013-07-07,1.0,92.6377553788373,,0.0,21.375,9.0,
1307072.0,2013-07-07,2.0,695.25572963054,,0.0,21.375,9.0,
1307081.0,2013-07-08,1.0,135.500244042392,,0.0,22.725,10.0,5.0
1307082.0,2013-07-08,2.0,538.529249911711,,0.0,22.725,10.0,5.0
1307083.0,2013-07-08,3.0,195.158794309303,,0.0,22.725,10.0,5.0
1307084.0,2013-07-08,4.0,49.5000238633042,,0.0,22.725,10.0,5.0
1307085.0,2013-07-08,5.0,285.233382496522,,0.0,22.725,10.0,5.0
1307093.0,2013-07-09,3.0,245.808338509722,,0.0,23.275,8.0,
1307091.0,2013-07-09,1.0,136.048382778344,,0.0,23.275,8.0,
1307094.0,2013-07-09,4.0,75.2089975834558,,0.0,23.275,8.0,
1307095.0,2013-07-09,5.0,342.089345776475,,0.0,23.275,8.0,
1307092.0,2013-07-09,2.0,585.957264698849,,0.0,23.275,8.0,
1307101.0,2013-07-10,1.0,135.132314289581,,2.0,19.6875,13.0,5.0
1307102.0,2013-07-10,2.0,567.365764527953,,2.0,19.6875,13.0,5.0
1307103.0,2013-07-10,3.0,265.109142544045,,2.0,19.6875,13.0,5.0
1307104.0,2013-07-10,4.0,73.8056511129258,,2.0,19.6875,13.0,5.0
1307105.0,2013-07-10,5.0,343.353066508123,,2.0,19.6875,13.0,5.0
1307111.0,2013-07-11,1.0,138.549392636714,,0.0,21.375,12.0,5.0
1307112.0,2013-07-11,2.0,569.109374584873,,0.0,21.375,12.0,5.0
1307114.0,2013-07-11,4.0,68.6330279122302,,0.0,21.375,12.0,5.0
1307115.0,2013-07-11,5.0,315.911756962233,,0.0,21.375,12.0,5.0
1307113.0,2013-07-11,3.0,234.65807920749,,0.0,21.375,12.0,5.0
1307121.0,2013-07-12,1.0,101.447511461298,,0.0,20.2875,7.0,
1307122.0,2013-07-12,2.0,600.267914678783,,0.0,20.2875,7.0,
1307123.0,2013-07-12,3.0,290.199097765019,,0.0,20.2875,7.0,
1307125.0,2013-07-12,5.0,362.802489634211,,0.0,20.2875,7.0,
1307131.0,2013-07-13,1.0,141.233309883732,,1.0,20.125,12.0,
1307133.0,2013-07-13,3.0,340.046632736531,,1.0,20.125,12.0,
1307132.0,2013-07-13,2.0,747.140776382576,,1.0,20.125,12.0,
1307135.0,2013-07-13,5.0,359.166188843392,,1.0,20.125,12.0,
1307134.0,2013-07-13,4.0,74.2744737887665,,1.0,20.125,12.0,
1307141.0,2013-07-14,1.0,112.524365708762,,5.0,17.6875,15.0,5.0
1307142.0,2013-07-14,2.0,777.048841669282,,5.0,17.6875,15.0,5.0
1307143.0,2013-07-14,3.0,320.626816189556,,5.0,17.6875,15.0,5.0
1307144.0,2013-07-14,4.0,115.271617188867,,5.0,17.6875,15.0,5.0
1307145.0,2013-07-14,5.0,461.082124524619,,5.0,17.6875,15.0,5.0
1307153.0,2013-07-15,3.0,243.526401440661,,6.0,18.7375,12.0,
1307152.0,2013-07-15,2.0,596.995099998235,,6.0,18.7375,12.0,
1307154.0,2013-07-15,4.0,99.4935305857439,,6.0,18.7375,12.0,
1307155.0,2013-07-15,5.0,380.68369651152,,6.0,18.7375,12.0,
1307151.0,2013-07-15,1.0,161.264677322182,,6.0,18.7375,12.0,
1307163.0,2013-07-16,3.0,287.415464972525,,1.0,21.1875,10.0,
1307164.0,2013-07-16,4.0,91.7796976081033,,1.0,21.1875,10.0,
1307161.0,2013-07-16,1.0,116.821358174215,,1.0,21.1875,10.0,
1307162.0,2013-07-16,2.0,558.797138274201,,1.0,21.1875,10.0,
1307165.0,2013-07-16,5.0,320.43533597922,,1.0,21.1875,10.0,
1307175.0,2013-07-17,5.0,396.99424714406,,5.0,22.5125,8.0,
1307173.0,2013-07-17,3.0,301.777437970497,,5.0,22.5125,8.0,
1307172.0,2013-07-17,2.0,628.325718978073,,5.0,22.5125,8.0,
1307171.0,2013-07-17,1.0,150.572919592838,,5.0,22.5125,8.0,
1307185.0,2013-07-18,5.0,300.398790118057,,1.0,23.25,11.0,5.0
1307183.0,2013-07-18,3.0,250.426586853024,,1.0,23.25,11.0,5.0
1307184.0,2013-07-18,4.0,89.2058404577425,,1.0,23.25,11.0,5.0
1307182.0,2013-07-18,2.0,647.822253705942,,1.0,23.25,11.0,5.0
1307181.0,2013-07-18,1.0,101.90072129658,,1.0,23.25,11.0,5.0
1307195.0,2013-07-19,5.0,369.400389277533,,3.0,22.475,16.0,5.0
1307194.0,2013-07-19,4.0,62.0636098816993,,3.0,22.475,16.0,5.0
1307193.0,2013-07-19,3.0,287.18828629416,,3.0,22.475,16.0,5.0
1307192.0,2013-07-19,2.0,646.788959790823,,3.0,22.475,16.0,5.0
1307191.0,2013-07-19,1.0,161.63511518654,,3.0,22.475,16.0,5.0
1307205.0,2013-07-20,5.0,346.154004294146,,0.0,23.1875,8.0,
1307204.0,2013-07-20,4.0,69.9369965472912,,0.0,23.1875,8.0,
1307203.0,2013-07-20,3.0,394.765674710477,,0.0,23.1875,8.0,
1307202.0,2013-07-20,2.0,843.051280035386,,0.0,23.1875,8.0,
1307201.0,2013-07-20,1.0,134.328076682024,,0.0,23.1875,8.0,
1307215.0,2013-07-21,5.0,287.443788531561,,0.0,26.375,8.0,
1307214.0,2013-07-21,4.0,82.6826868784511,,0.0,26.375,8.0,
1307213.0,2013-07-21,3.0,346.658236387984,,0.0,26.375,8.0,
1307212.0,2013-07-21,2.0,815.942264195776,,0.0,26.375,8.0,
1307211.0,2013-07-21,1.0,66.2887578161955,,0.0,26.375,8.0,
1307224.0,2013-07-22,4.0,99.3353908053911,,0.0,26.1,9.0,
1307223.0,2013-07-22,3.0,297.712614415266,,0.0,26.1,9.0,
1307225.0,2013-07-22,5.0,356.484067206325,,0.0,26.1,9.0,
1307221.0,2013-07-22,1.0,131.223948997842,,0.0,26.1,9.0,
1307222.0,2013-07-22,2.0,647.682748973215,,0.0,26.1,9.0,
1307235.0,2013-07-23,5.0,316.29681714496,,0.0,24.95,12.0,
1307234.0,2013-07-23,4.0,70.5290024618065,,0.0,24.95,12.0,
1307233.0,2013-07-23,3.0,323.301431663341,,0.0,24.95,12.0,
1307232.0,2013-07-23,2.0,691.043662205889,,0.0,24.95,12.0,
1307231.0,2013-07-23,1.0,110.315246796665,,0.0,24.95,12.0,
1307244.0,2013-07-24,4.0,83.5816326885927,,3.0,24.075,11.0,
1307243.0,2013-07-24,3.0,328.023102507764,,3.0,24.075,11.0,
1307245.0,2013-07-24,5.0,327.339400651794,,3.0,24.075,11.0,
1307241.0,2013-07-24,1.0,141.891908195545,,3.0,24.075,11.0,
1307242.0,2013-07-24,2.0,698.340862077002,,3.0,24.075,11.0,
1307255.0,2013-07-25,5.0,303.192537586556,,2.0,23.0875,9.0,
1307254.0,2013-07-25,4.0,65.8902979709521,,2.0,23.0875,9.0,
1307253.0,2013-07-25,3.0,280.809721012322,,2.0,23.0875,9.0,
1307252.0,2013-07-25,2.0,681.250768331783,,2.0,23.0875,9.0,
1307251.0,2013-07-25,1.0,167.701216640907,,2.0,23.0875,9.0,
1307261.0,2013-07-26,1.0,147.272084366206,,3.0,27.2625,6.0,
1307262.0,2013-07-26,2.0,718.016648132155,,3.0,27.2625,6.0,
1307263.0,2013-07-26,3.0,352.293883343641,,3.0,27.2625,6.0,
1307264.0,2013-07-26,4.0,53.1984562311259,,3.0,27.2625,6.0,
1307265.0,2013-07-26,5.0,331.522091778847,,3.0,27.2625,6.0,
1307272.0,2013-07-27,2.0,855.619095347599,,1.0,26.1625,10.0,
1307275.0,2013-07-27,5.0,358.892714466409,,1.0,26.1625,10.0,
1307273.0,2013-07-27,3.0,382.965879977945,,1.0,26.1625,10.0,
1307271.0,2013-07-27,1.0,161.403357795112,,1.0,26.1625,10.0,
1307281.0,2013-07-28,1.0,86.0791432446654,,4.0,24.8875,13.0,61.0
1307282.0,2013-07-28,2.0,871.802546455837,,4.0,24.8875,13.0,61.0
